,Tweet,Date,Label
15,it blockbuster roger take juan martin qfs wednesday night,It's a #USOpen blockbuster as Roger #Federer takes on Juan Martin #delPotro in the QFs on Wednesday night.,0
16,it federer juan del potro quaters,Its Federer vs Juan Del potro in the quaters of #USOpen,1
17,rt quarterfinal preview federer take del potro nadal face year old andrey rublev,"RT @Tennis: #USOpen Quarterfinal Previews: Federer takes on del Potro, Nadal faces 19-year-old Andrey Rublev.",1
18,why roger nadal del potro half need see roger nadal finale la,"just WHY roger, nadal and del potro are on the same half, we need to see roger-nadal on the finale la #usopen",0
19,want spanish final rafa need beat roger,I want an all-Spanish Final!! #USOpen A.K.A Rafa needs to beat Roger!,0
20,and my pick is anderson federerdelpotro final federer edge,And My Pick Is Anderson vs Federer/Delpotro Final (Federer has the edge) #USOpen #Finals,0
21,when roger match ist,When is Roger 's match ( IST ) #USOpen,0
22,rt roger little hitting partner bit today practice cancer survivor marc krajekian,RT @Scarlett_Li: Roger had a little hitting partner for a bit during today's practice-cancer survivor Marc Krajekian😘❤️#Federer #usopen (🎥v…,0
23,sport federer nadal close landmark new york meeting,SPORT | Federer and Nadal close in on landmark New York meeting. #USOpen,1
24,rt quarterfinal preview federer take del potro nadal face year old andrey rublev,"RT @Tennis: #USOpen Quarterfinal Previews: Federer takes on del Potro, Nadal faces 19-year-old Andrey Rublev.",1
25,federer del potro match going exciting one,Federer vs Del Potro match going to be an exciting one! 🎾,1
26,rt quarterfinal preview federer take del potro nadal face year old andrey rublev,"RT @Tennis: #USOpen Quarterfinal Previews: Federer takes on del Potro, Nadal faces 19-year-old Andrey Rublev.",1
27,something venerable hope win also looking forward another federer win,@guardian @guardian_sport Something venerable about #VenusWilliams hope she wins...also not looking forward to another Federer win #USOpen,1
28,rt quarterfinal preview federer take del potro nadal face year old andrey rublev,"RT @Tennis: #USOpen Quarterfinal Previews: Federer takes on del Potro, Nadal faces 19-year-old Andrey Rublev.",1
29,come federer,Come on Federer. #USOpen,1
30,rt quarterfinal preview federer take del potro nadal face year old andrey rublev,"RT @Tennis: #USOpen Quarterfinal Previews: Federer takes on del Potro, Nadal faces 19-year-old Andrey Rublev.",1
31,were business end daily mega multi back federer key win qf cokowjuzsnc,"We're at the business end of the #USOpen - with our Daily Mega Multi, you can back Federer and Keys to win their QF… https://t.co/2kowjuZSNc",1
32,rt quarterfinal preview federer take del potro nadal face year old andrey rublev,"RT @Tennis: #USOpen Quarterfinal Previews: Federer takes on del Potro, Nadal faces 19-year-old Andrey Rublev.",1
33,rt warm young cancer survivor propels roger federer th round win,RT @LastNights_Game: Warm up with young cancer survivor propels Roger Federer to 4th round win at #usopen!,0
34,rt quarterfinal preview federer take del potro nadal face year old andrey rublev,"RT @Tennis: #USOpen Quarterfinal Previews: Federer takes on del Potro, Nadal faces 19-year-old Andrey Rublev.",1
35,rt quarterfinal preview federer take del potro nadal face year old andrey rublev,"RT @Tennis: #USOpen Quarterfinal Previews: Federer takes on del Potro, Nadal faces 19-year-old Andrey Rublev.",1
36,rt roger juan martin the best match theyve played until qf,RT @livetennis: Roger #Federer vs Juan Martin #delPotro: The 5 best matches they've played ... Until this #USOpen QF?,0
37,rt quarterfinal preview federer take del potro nadal face year old andrey rublev,"RT @Tennis: #USOpen Quarterfinal Previews: Federer takes on del Potro, Nadal faces 19-year-old Andrey Rublev.",1
38,rt quarterfinal preview federer take del potro nadal face year old andrey rublev,"RT @Tennis: #USOpen Quarterfinal Previews: Federer takes on del Potro, Nadal faces 19-year-old Andrey Rublev.",1
39,quarterfinal preview federer take del potro nadal face year old andrey rublev,"#USOpen Quarterfinal Previews: Federer takes on del Potro, Nadal faces 19-year-old Andrey Rublev.",1
40,rt roger juan martin the best match theyve played until qf,RT @livetennis: Roger #Federer vs Juan Martin #delPotro: The 5 best matches they've played ... Until this #USOpen QF?,0
41,federer del potro highlight,Federer (@rogerfederer) vs Del Potro (@delpotrojuan) #USOpen 2009 Highlights,1
42,rt by reaching st major quarterfinal federer improves time record cokwmimafbq,RT @FedererLive: By reaching his 51st major quarterfinal Federer improves his own all time record. #USOpen https://t.co/3KwmIMAFbq,0
43,rt roger juan martin the best match theyve played until qf,RT @livetennis: Roger #Federer vs Juan Martin #delPotro: The 5 best matches they've played ... Until this #USOpen QF?,0
44,rt roger juan martin the best match theyve played until qf,RT @livetennis: Roger #Federer vs Juan Martin #delPotro: The 5 best matches they've played ... Until this #USOpen QF?,0
45,roger juan martin the best match theyve played until qf,Roger #Federer vs Juan Martin #delPotro: The 5 best matches they've played ... Until this #USOpen QF?,0
46,rt federer talk player watched play light growing name hingis williams sister,"RT @BenRothenberg: Federer talks about the players he watched play under the lights at #USOpen growing up. Names Hingis, Williams sisters.",1
47,three see day pliskova versus vandeweghe federer versus del potro nadal versus rublev coyidakjpeof,"Three to See on Day 10 at the #USOpen : Pliskova versus Vandeweghe, Federer versus del Potro, Nadal versus Rublev… https://t.co/YIDAKjpeOF",1
48,greatest athlete tennis real no compare federer and stop brownnosing,"@rennaestubbs #venus is the greatest athlete in tennis?Get real! No compare with Federer, ..And stop brownnosing her  @CliffDrysdale #usopen",0
49,if querrey doesnt win match non nadal federer semifinal gon na excitement level funeral livestream,If Querrey doesn't win this match the non-Nadal-Federer semifinal is gonna have the excitement level of a funeral livestream. #USOpen,0
50,this late match may warmup federer del potro,This late match may just be a warmup for Federer-del Potro... #USOpen,1
51,open roger federer draw comparison rafael nadal dominic thiem,US Open 2017: Roger Federer draws comparison between Rafael Nadal and Dominic Thiem #USOpen,1
52,open roger federer draw comparison rafael nadal dominic thiem,US Open 2017: Roger Federer draws comparison between Rafael Nadal and Dominic Thiem #USOpen,1
53,lot empty seat ashe midnight doubt case nd night match tomorrow featuring goat,Lots of empty seats at Ashe after midnight. Doubt that will be be the case for the 2nd night match tomorrow featuring the GOAT. 😉 #USOpen,1
54,rt roger federer beat germanysphilipp kohlschreiber reach qf on way sf showdown,"RT @mohanstatsman: Roger Federer beat  Germany's Philipp Kohlschreiber 6-4, 6-2, 7-5 to reach #USOpen QF. On the way to a SF showdown with …",1
55,open juan martin del potro face roger federer last eight,US Open 2017: Juan Martin del Potro to face Roger Federer in last eight,1
56,rt delpo feel tired massage hope recover day able play roger best condition,"RT @Ubitennis: Delpo:""I feel tired, I will have massages, hope to recover during day off to be able to play Roger in best conditions""#USOpen",0
57,rt after incredible comeback delpo pull another upset federer break,"RT @markhmasters: After incredible comeback, can 🇦🇷delPo pull off another #USOPen upset v 🇨🇭Federer? @nicolaspereira &amp; I break it down http…",0
58,rt should special look ahead possible nadal federer sf advice,"RT @markhmasters: ""Should be special"": @JimmyConnors looks ahead to possible Nadal-Federer #USOpen SF + his advice to 🇨🇦 @denis_shapo https…",1
59,rt federer nadal brink long awaited showdown would mean nyc legacy co,RT @markhmasters: 🇨🇭 Federer &amp; 🇪🇸 Nadal on brink of long-awaited #USOpen showdown; what would it mean to NYC &amp; their legacies? https://t.co…,0
60,rt rublev always tried copy safin nadal federer liked copied,"RT @Ubitennis: Rublev:""I always tried to copy Safin and Nadal. Federer, I just liked him, not copied"" #adorable #russianaccent #USOpen",1
61,rt ok rafa federer sf friday im gon na like goodbye world,RT @ime_dg: Ok if Rafa and Federer are in the SF against each other...friday im gonna be like Goodbye World! 👋🏼 #usopen,0
62,standing way roger rafa semi final del potro rublev,Standing in the way of a Roger-Rafa semi-final are Del Potro and Rublev..... #USOpen #MakeItHappen,1
63,federer nadal win away setting dream semi final can cophapxlvky,Federer and Nadal are just a win away from setting up a dream semi final. Can they do it... https://t.co/P2haPxLvKY #USOpen,1
64,open roger federer reckons rafael nadal best forehand world,US Open 2017: Roger Federer reckons Rafael Nadal has the best forehand in the world #USOpen,1
65,open roger federer reckons rafael nadal best forehand world,US Open 2017: Roger Federer reckons Rafael Nadal has the best forehand in the world #USOpen,1
66,mr anderson querrey even close federer nadal others hoooolllyyyy shit something,"(Mr.) Anderson vs Querrey is not even close to Federer-Nadal or others, but....HOOOOLLLYYYY SHIT: they are something!!! #USOpen",0
67,roger made tennis fan im invested woman match men thats coobovwgkijl,@Gibbsyyyy Roger made me a tennis fan but I'm invested in more women's matches than men's in this #USOpen That's on… https://t.co/oBovWGKIJl,1
68,rt thanks goat what blast cofvrherdgv,"RT @cameroncheers: Thanks, GOAT! What a blast at the 2017 #USOpen. #JustGetUp #LetsDance #ILoveNewYork https://t.co/fvRhe2RDgv",1
69,federer play del potro quarter,#CNN Federer plays del Potro in the #USOpen quarters.,1
70,rt can federer make major row,RT @TeamFA: Can Federer make it 2 Majors in a row?! 🏆🏆,0
71,can federer make major row,Can Federer make it 2 Majors in a row?! 🏆🏆,0
72,rt can roger federer win record th men single title relive career number colngcmep,"RT @GettySport: Can Roger Federer win a record 6th #USOpen mens singles title? 🎾🐐🇨🇭 Relive his career, by the numbers https://t.co/ln6gcmEp…",1
73,like federer shapovalov murray many player got started tennis early thanks mother coadkrjikev,"#Querrey, like Federer, Shapovalov, Murray, many players, got started in tennis early thanks to his mother https://t.co/adKRjI7kev #USOpen",1
74,rt it repeat final roger take juan martin qfs,RT @livetennis: It's a repeat of the 2009 #USOpen final as Roger #Federer takes on Juan Martin #delPotro in the 2017 QFs!,0
75,rt great federer watching venus match absolute highlight cofgcyrmjyaj,"RT @rpesce: As great as Federer has been, watching Venus' matches have been the absolute highlight of #USOpen https://t.co/fGcYrmjyAj",1
76,great federer watching venus match absolute highlight cofgcyrmjyaj,"As great as Federer has been, watching Venus' matches have been the absolute highlight of #USOpen https://t.co/fGcYrmjyAj",1
77,rt it repeat final roger take juan martin qfs,RT @livetennis: It's a repeat of the 2009 #USOpen final as Roger #Federer takes on Juan Martin #delPotro in the 2017 QFs!,0
78,what performance yo amidst rafa roger comeback yr let forget marvel queen vee,"What a performance by 37 yo @Venuseswilliams at #USOpen Amidst Rafa and Roger comebacks this yr, lets not forget to marvel at Queen Vee",1
79,serena goat venus leader advancing woman tennis onoff court well advocating equal pay,Serena is the GOAT but Venus is &amp; has been the leader in advancing women's tennis on/off-court as well as advocating for equal pay. #USOpen,1
80,goat corqicxxpk,GOAT @Venuseswilliams #USOpen https://t.co/rqicXx2P2K,0
81,nadal federer american the best long time cognwliis,"Nadal, Federer, Americans. The best #USOpen in a long time https://t.co/5GN4WL0iiS",1
82,rt serena smiling somewhere rn holding future goat,RT @spizzyspose: Serena smiling somewhere rn holding a future goat #Venus #usopen,1
83,rt venus make tennis look hard roger instance kinda float around court ease,RT @msol88: Venus makes tennis look so hard while roger for instance just kinda floats around the court with ease #USOpen,0
84,roger federer rafael nadal ticket cost but they might not play,"ROGER FEDERER V RAFAEL NADAL TICKETS COST £17,000 - BUT THEY MIGHT NOT PLAY!",0
85,serena smiling somewhere rn holding future goat,Serena smiling somewhere rn holding a future goat #Venus #usopen,1
86,venus make tennis look hard roger instance kinda float around court ease,Venus makes tennis look so hard while roger for instance just kinda floats around the court with ease #USOpen,0
87,and federer delpo probably either nadal delpo fedal first time nyc plus man final promise get better,"And with Federer-Delpo &amp; probably either Nadal-Delpo or Fedal for first time in NYC, plus US man in final(?) promises to get better. #USOpen",1
88,rt federer play del potro quarter,RT @cnnsport: Federer plays del Potro in the #USOpen quarters.,0
89,what bounce back venus and kitkova story wow and federer del porto tomorrow wow love,What a bounce back by Venus. And the Kitkova story. Wow. And Federer vs. Del Porto tomorrow. Wow. I love the #USOpen,1
90,rt federer play del potro quarter,RT @cnnsport: Federer plays del Potro in the #USOpen quarters.,0
91,rt federer play del potro quarter,RT @cnnsport: Federer plays del Potro in the #USOpen quarters.,0
92,federer play del potro quarter,Federer plays del Potro in the #USOpen quarters.,1
93,when venus turn federer,When did Venus turn into Federer? #USOpen,0
94,rt roger little hitting partner bit today practice cancer survivor marc krajekian,RT @Scarlett_Li: Roger had a little hitting partner for a bit during today's practice-cancer survivor Marc Krajekian😘❤️#Federer #usopen (🎥v…,0
95,rt after epic comeback juan martin del potro fully healthy roger federer cojkrmmfhqai,"RT @SI_Tennis: After his epic #USOpen comeback, will Juan Martin del Potro be fully healthy against Roger Federer? https://t.co/JKRMmFhQaI…",1
96,federer give young gun thiem lovely birthday surprise talk next opponent del potro cogskhifas,"Federer gives young gun Thiem lovely birthday surprise, talks up next opponent del Potro. #USOpen… https://t.co/g4SKHI5faS",1
97,it repeat final roger take juan martin qfs,It's a repeat of the 2009 #USOpen final as Roger #Federer takes on Juan Martin #delPotro in the 2017 QFs!,0
98,digging hoping match federer win win woman bracket,Digging #USOpen #Usopen2017 hoping for #RogerFederer #RafaelNadal match with Federer win and #VenusWilliams to win out in Women's bracket.,0
99,someone please explain federer keep getting night match nadal always playing day respect,"#usopen, can someone please explain why federer keeps getting Night matches and Nadal is always playing in the day? #no respect",0
100,rt flawless victoryroger federer get back track th win feliciano lopez,RT @Tennis: Flawless victory—Roger Federer gets back on track at the #USOpen with his 13th win over Feliciano Lopez (now 13-0): https://t.c…,1
101,open juan martin del potro call roger federer greatest player history cokuwfotic,US Open 2017: Juan Martin del Potro calls Roger Federer the greatest player in history #USOpen  https://t.co/kuWfoTiC14,1
102,best athlete than federer raga joker get real,@SI_Tennis #USOpen #Usopen2017 #SerenaWilliams is the best athlete in #tennis? Than Federer? Raga? Joker? Get real!,1
103,rt by reaching st major quarterfinal federer improves time record cokwmimafbq,RT @FedererLive: By reaching his 51st major quarterfinal Federer improves his own all time record. #USOpen https://t.co/3KwmIMAFbq,0
104,rt can roger federer win record th men single title relive career number colngcmep,"RT @GettySport: Can Roger Federer win a record 6th #USOpen mens singles title? 🎾🐐🇨🇭 Relive his career, by the numbers https://t.co/ln6gcmEp…",1
105,rt in better american news woman without goat house crushing,"RT @pjsauer: In some better American news, the women, without the GOAT in the house, are crushing this #USOpen.",0
106,gettysport rt gettysport can roger federer win record th men single title relive career cowhqtcmfo,"GettySport : RT GettySport: Can Roger Federer win a record 6th #USOpen mens singles title? 🎾🐐🇨🇭 Relive his career,…… https://t.co/3whqt9CMfO",1
107,if rafael nadal survives andrey rublev qf challenge could face rival roger federer sf coyiqecjrvw,"If Rafael Nadal survives the Andrey Rublev QF challenge, he could face rival Roger Federer in #USOpen SF:… https://t.co/Y1iqeCJRVw",0
108,rt can roger federer win record th men single title relive career number colngcmep,"RT @GettySport: Can Roger Federer win a record 6th #USOpen mens singles title? 🎾🐐🇨🇭 Relive his career, by the numbers https://t.co/ln6gcmEp…",1
109,rt can roger federer win record th men single title relive career number colngcmep,"RT @GettySport: Can Roger Federer win a record 6th #USOpen mens singles title? 🎾🐐🇨🇭 Relive his career, by the numbers https://t.co/ln6gcmEp…",1
110,rt can roger federer win record th men single title relive career number colngcmep,"RT @GettySport: Can Roger Federer win a record 6th #USOpen mens singles title? 🎾🐐🇨🇭 Relive his career, by the numbers https://t.co/ln6gcmEp…",1
111,venus williams play much like federer selective point worth keep playing understands game well,"Venus Williams play much like Federer, very selective of the points worth to keep playing. Understands the game and herself well. #usopen",1
112,rt can roger federer win record th men single title relive career number colngcmep,"RT @GettySport: Can Roger Federer win a record 6th #USOpen mens singles title? 🎾🐐🇨🇭 Relive his career, by the numbers https://t.co/ln6gcmEp…",1
113,rt by reaching st major quarterfinal federer improves time record cokwmimafbq,RT @FedererLive: By reaching his 51st major quarterfinal Federer improves his own all time record. #USOpen https://t.co/3KwmIMAFbq,0
114,rt can roger federer win record th men single title relive career number colngcmep,"RT @GettySport: Can Roger Federer win a record 6th #USOpen mens singles title? 🎾🐐🇨🇭 Relive his career, by the numbers https://t.co/ln6gcmEp…",1
115,federer del potro qf late match prime time tomorrow night long del po healthy doozy ashe,Federer vs Del Potro QF is late match in Prime Time tomorrow night...as long as Del Po is healthy should be a doozy on Ashe #USOpen 🗽,1
116,rt by reaching st major quarterfinal federer improves time record cokwmimafbq,RT @FedererLive: By reaching his 51st major quarterfinal Federer improves his own all time record. #USOpen https://t.co/3KwmIMAFbq,0
117,roger way popular worldwide thats fact business cojngwidxa,Roger is way more popular worldwide. That's a fact. #USOpen is a business. https://t.co/jnG2wID5Xa,1
118,much want federer nadal semifinal showdown im pushing delpo advance far possible ol del potro,"As much as I want a Federer-Nadal semifinal showdown, I'm pushing for Delpo to advance as far as possible so ... olé Del Potro! #USOpen",0
119,ok rafa federer sf friday im gon na like goodbye world,Ok if Rafa and Federer are in the SF against each other...friday im gonna be like Goodbye World! 👋🏼 #usopen,0
120,rt federer nadal brink long awaited showdown would mean nyc legacy co,RT @markhmasters: 🇨🇭 Federer &amp; 🇪🇸 Nadal on brink of long-awaited #USOpen showdown; what would it mean to NYC &amp; their legacies? https://t.co…,0
121,rt should special look ahead possible nadal federer sf advice,"RT @markhmasters: ""Should be special"": @JimmyConnors looks ahead to possible Nadal-Federer #USOpen SF + his advice to 🇨🇦 @denis_shapo https…",1
122,try tell isnt future goat just try cohtcdawhlts,Try to tell me she isn't the future GOAT. Just try. #USOpen https://t.co/HtcdAWHLtS,0
123,wonder classier man earth roger federer corcmweryiy,I wonder if there is a classier man on earth than Roger Federer #USOpen https://t.co/3rCMWerYiy,1
124,federer nadal brink long awaited showdown would mean nyc legacy colalliqif,🇨🇭 Federer &amp; 🇪🇸 Nadal on brink of long-awaited #USOpen showdown; what would it mean to NYC &amp; their legacies? https://t.co/L3A0lLiQIF,1
125,rt after incredible comeback delpo pull another upset federer break,"RT @markhmasters: After incredible comeback, can 🇦🇷delPo pull off another #USOPen upset v 🇨🇭Federer? @nicolaspereira &amp; I break it down http…",0
126,open juan martin del potro reveals fitness worry ahead roger federer clash cohfusaaibbm,US Open 2017: Juan Martin Del Potro reveals fitness worry ahead of Roger Federer clash #UsOpen https://t.co/hfUsaAibBM,1
127,should special look ahead possible nadal federer sf advice coknpjpk,"""Should be special"": @JimmyConnors looks ahead to possible Nadal-Federer #USOpen SF + his advice to 🇨🇦 @denis_shapo https://t.co/kn3Pj242pK",1
128,yaay roger,YAAY' ROGER  👏🏽🙌🏽👏🏽🙌🏽👏🏽,0
129,rt catching federer open cat coueeduhtp,RT @gilliardl_jr: Catching Federer at the US Open with this cat. @ChadLColeman #USOpen #NYC #2017 https://t.co/uEeD96UhtP,0
130,del potro federer game,Del Potro v Federer - what a game that will be #USOpen,1
131,rt after incredible comeback delpo pull another upset federer break,"RT @markhmasters: After incredible comeback, can 🇦🇷delPo pull off another #USOPen upset v 🇨🇭Federer? @nicolaspereira &amp; I break it down http…",0
132,rt juan martin del potro heap praise greatest roger federer ahead quarter final coyrabvkdlu,RT @Metro_Sport: Juan Martin del Potro heaps praise on ‘greatest’ Roger Federer ahead of #USOpen quarter-final https://t.co/Yr4abVKDLU,1
133,after incredible comeback delpo pull another upset federer break covretdnz,"After incredible comeback, can 🇦🇷delPo pull off another #USOPen upset v 🇨🇭Federer? @nicolaspereira &amp; I break it down https://t.co/vRe1td1N2z",1
134,rt thanks goat what blast cofvrherdgv,"RT @cameroncheers: Thanks, GOAT! What a blast at the 2017 #USOpen. #JustGetUp #LetsDance #ILoveNewYork https://t.co/fvRhe2RDgv",1
135,rt metrosport juan martin del potro heap praise greatest roger federer ahead quarter final,RT @SportNewsChanel: Metro_Sport: Juan Martin del Potro heaps praise on ‘greatest’ Roger Federer ahead of #USOpen quarter-final https://t.c…,1
136,metrosport juan martin del potro heap praise greatest roger federer ahead quarter final coroqlfmrbd,Metro_Sport: Juan Martin del Potro heaps praise on ‘greatest’ Roger Federer ahead of #USOpen quarter-final https://t.co/2ROQLfmrbD,1
137,like federer del potro and part wouldnt mind seeing latter but im going fedex,I like both Federer and del Potro.  And part of me wouldn't mind seeing the latter through. But I'm going for the FedEx #USOpen,0
138,rt federer stopped thiems birthday party nobu,RT @lynnlovestennis: Federer stopped by Thiem’s birthday party at Nobu.,0
139,juan martin del potro heap praise greatest roger federer ahead quarter final coyrabvkdlu,Juan Martin del Potro heaps praise on ‘greatest’ Roger Federer ahead of #USOpen quarter-final https://t.co/Yr4abVKDLU,1
140,rt roger little hitting partner bit today practice cancer survivor marc krajekian,RT @Scarlett_Li: Roger had a little hitting partner for a bit during today's practice-cancer survivor Marc Krajekian😘❤️#Federer #usopen (🎥v…,0
141,rt catching federer open cat coueeduhtp,RT @gilliardl_jr: Catching Federer at the US Open with this cat. @ChadLColeman #USOpen #NYC #2017 https://t.co/uEeD96UhtP,0
142,prime burger open roger federer,Prime Burger at the US Open &gt; Roger Federer #USOpen,0
143,rt can federer make major row,RT @TeamFA: Can Federer make it 2 Majors in a row?! 🏆🏆,0
144,can federer make major row,Can Federer make it 2 Majors in a row?! 🏆🏆,0
145,rt catching federer open cat coueeduhtp,RT @gilliardl_jr: Catching Federer at the US Open with this cat. @ChadLColeman #USOpen #NYC #2017 https://t.co/uEeD96UhtP,0
146,rt federer stopped thiems birthday party nobu,RT @lynnlovestennis: Federer stopped by Thiem’s birthday party at Nobu.,0
147,nadal federer del potro half draw great opportunity player half reach grand slam final,"Nadal, Federer, Del Potro all in same half of draw. Great opportunity for players in other half to reach Grand Slam final #USOpen",1
148,rt federer spent hrsm court posted back back set win tiafoe youzhny,RT @usopen: Federer has spent 5hrs45m on court &amp; posted back-to-back 5-set wins over Tiafoe &amp; Youzhny.,0
149,nadal federer defeat opponent in straight set to reach open quarterfinal,NADAL &amp; FEDERER DEFEAT OPPONENTS IN STRAIGHT SETS TO REACH US OPEN 2017 QUARTERFINALS,0
150,rt roger federer keep getting better tournament beat philipp kohlschreiber reach qfs,"RT @josemorgado: Roger Federer keeps getting better in this tournament, beats Philipp Kohlschreiber 6-4, 6-2, 7-5 to reach the #USOpen QFs…",1
151,what time federer play tomorrow,What time does Federer play tomorrow? #USOpen,1
152,rt uk body still edt rafa roger still play well set,"RT @gwb007: 2300 in UK, body's still on EDT, but Rafa is on and Roger still to play so we're well set. #USOpen",0
153,rt federer stopped thiems birthday party nobu,RT @lynnlovestennis: Federer stopped by Thiem’s birthday party at Nobu.,0
154,but federer del po match tomorrow cowqbeotur,But the Federer / Del Po match tomorrow ...?!?! #usopen https://t.co/wQBe3OT7UR,1
155,rt roger little hitting partner bit today practice cancer survivor marc krajekian,RT @Scarlett_Li: Roger had a little hitting partner for a bit during today's practice-cancer survivor Marc Krajekian😘❤️#Federer #usopen (🎥v…,0
156,rt federer defied odds wrote athlete stayed top game htt,RT @kumaraishwarya: Federer has defied all odds. I wrote about other athletes who stayed at the top of their games in 30s &amp; 40s #USOpen htt…,0
157,rt roger federer sailing qf like nothing guy play like goat,RT @CedricNdilima: Roger Federer sailing into #USOpen Q/F. Like its nothing..Guy is 36 but plays like he 23....GOAT......,0
158,roger federer juan martin del potro meet battle crowd favorite cozdmljpmxth,Roger Federer and Juan Martin del Potro will meet in a battle of crowd favorites at the #USOpen… https://t.co/ZdMLjpMxtH,1
159,havent following federer,Haven't been following the #usopen how is Federer doing?,1
160,federer del potro qf match tomorrow pm want match federer del po colrsflyzlez,#USOpen Federer vs Del Potro QF Match tomorrow 8:15 PM. Want #Federer to this Match. Federer 16 to 5 against Del Po… https://t.co/LrSFlyzlEz,1
161,rt thanks goat what blast cofvrherdgv,"RT @cameroncheers: Thanks, GOAT! What a blast at the 2017 #USOpen. #JustGetUp #LetsDance #ILoveNewYork https://t.co/fvRhe2RDgv",1
162,rt thanks goat what blast cofvrherdgv,"RT @cameroncheers: Thanks, GOAT! What a blast at the 2017 #USOpen. #JustGetUp #LetsDance #ILoveNewYork https://t.co/fvRhe2RDgv",1
163,roger federer sailing qf like nothing guy play like goat,Roger Federer sailing into #USOpen Q/F. Like its nothing..Guy is 36 but plays like he 23....GOAT......,0
164,metrosport roger federer perfectly explains make juan martin del potro forehand fearsome coinarhtzdq,Metro_Sport: Roger Federer perfectly explains what makes the Juan Martin del Potro forehand so fearsome https://t.co/InarhtzDq3 #USOpen,1
165,roger federer perfectly explains make juan martin del potro forehand fearsome conogmuhi,Roger Federer perfectly explains what makes the Juan Martin del Potro forehand so fearsome https://t.co/2nO3g3mUhi #USOpen,1
166,rt by reaching st major quarterfinal federer improves time record cokwmimafbq,RT @FedererLive: By reaching his 51st major quarterfinal Federer improves his own all time record. #USOpen https://t.co/3KwmIMAFbq,0
167,rt catching federer open cat coueeduhtp,RT @gilliardl_jr: Catching Federer at the US Open with this cat. @ChadLColeman #USOpen #NYC #2017 https://t.co/uEeD96UhtP,0
168,aways enjoy seeing federer play counting winning trophy rafa cowtblvdbdte,"I aways enjoy seeing Federer play.Counting on him winning 2017 Trophy (or Rafa),#USOpen https://t.co/WtBLvDbdte",1
169,rt watch roger federer warmed young cancer survivor prior monday match coxfayouuh,RT @SI_Tennis: Watch: Roger Federer warmed up with a young cancer survivor prior to his Monday match at the #USOpen https://t.co/XFAy60Ouuh,0
170,rt cancer survivor meet idol roger federer coibxcxguk cotyfelozmjp,RT @wsyx6: Cancer survivor meets idol Roger Federer at #USOpen https://t.co/IBx4cXguk0 https://t.co/tYFELOzmjp,0
171,cancer survivor meet idol roger federer coibxcxguk cotyfelozmjp,Cancer survivor meets idol Roger Federer at #USOpen https://t.co/IBx4cXguk0 https://t.co/tYFELOzmjp,0
172,if federer nadal win respective qf match,If federer and nadal win there respective QF matches #USOpen,1
173,is wrong wish rafa lose rublev face roger sf rafa delthortro want th,Is it wrong to wish for Rafa to lose to Rublev for the #nextgen to face Roger in the SF? #USOpen i ❤ Rafa &amp; delTHORtro but we all want 20th!,0
